Site	Lenght	L/min		Site	Lenght	L/min		Site	Ostron (L/min)	 Musslor (L/min)		Depth grid															
9	5.50	0.02961105		12	4.5	0.00796095																					
9	6.00	0.0300537		12	4	0.0085936																					
9	5.50	0.02961105		12	6.5	0.00796095																					
10	9.00	0.0327096		12	4	0.0123895																					
10	11.00	0.0344802		12	5.5	0.0149201																					
10	5.00	0.0291684		12	6	0.0073283																					
10	7.00	0.030939		12	6.5	0.0098589																					
10	12.00	0.0353655		12	7	0.0161854																					
10	8.00	0.0318243		12	5.5	0.0111242																					
10	15.00	0.0380214		12	5	0.0199813																					
10	9.00	0.0327096		12	6.5	0.0123895																					
10	12.50	0.03580815		12	8.5	0.01681805																					
10	4.00	0.0282831		12	3	0.006063																					
10	3.50	0.02784045		12	3	0.00543035																					
10	10.00	0.0335949		12	6.5	0.0136548																					
10	10.00	0.0335949		12	6	0.0136548																					
10	10.00	0.0335949		12	6.5	0.0136548																					
10	10.00	0.0335949		12	8	0.0136548																					
10	11.00	0.0344802		12	7	0.0149201																					
10	11.00	0.0344802		12	3	0.0149201																					
10	8.50	0.03226695		12	5.5	0.01175685																					
10	9.50	0.03315225		12	5	0.01302215																					
10	10.00	0.0335949		12	2	0.0136548																					
10	10.50	0.03403755		12	2	0.01428745																					
10	10.00	0.0335949		12	5	0.0136548																					
10	6.00	0.0300537		12	4	0.0085936																					
10	5.50	0.02961105		12	4	0.00796095																					
10	4.50	0.02872575		12	4.5	0.00669565																					
11	12.00	0.0353655		12	5	0.0161854																					
11	10.00	0.0335949		12	3.5	0.0136548																					
11	5.50	0.02961105		12	4	0.00796095																					
11	17.00	0.039792		12	3.5	0.0225119																					
11	6.50	0.03049635		12	7	0.00922625																					
11	15.00	0.0380214		12	2	0.0199813																					
11	13.00	0.0362508		12	5	0.0174507																					
11	14.00	0.0371361		12	7	0.018716																					
11	9.00	0.0327096		12	6	0.0123895																					
11	11.00	0.0344802		12	5.5	0.0149201																					
11	20.00	0.0424479		12	6	0.0263078																					
11	19.00	0.0415626		12	6	0.0250425																					
11	6.00	0.0300537		12	6.5	0.0085936																					
11	8.00	0.0318243		12	4.5	0.0111242																					
11	17.00	0.039792		12	3.5	0.0225119																					
11	9.00	0.0327096		12	6	0.0123895																					
11	5.00	0.0291684		12	6	0.0073283																					
11	11.50	0.03492285		12	5.5	0.01555275																					
11	13.00	0.0362508		12	5	0.0174507																					
11	10.50	0.03403755		12	6	0.01428745																					
11	8.00	0.0318243		12	5.5	0.0111242																					
11	9.00	0.0327096		12	4.5	0.0123895																					
11	7.00	0.030939		12	5.5	0.0098589																					
11	5.50	0.02961105		12	5.5	0.00796095																					
11	9.50	0.03315225		12	6	0.01302215																					
11	8.00	0.0318243		12	6	0.0111242																					
11	7.00	0.030939		12	6	0.0098589																					
11	5.00	0.0291684		12	4.5	0.0073283																					
11	7.00	0.030939		12	4.5	0.0098589																					
11	6.00	0.0300537		12	5	0.0085936																					
11	9.00	0.0327096		12	5	0.0123895																					
